(16|01|2022 14:42:15)
1. 2127 + 711 = 2838 | correct

2. 892 + 553 = 1445 | correct

3. 2294 + 2674 = 4968 | correct

4. 1706 + 1416 = 3122 | correct

5. 2412 + 1732 = 3143 | try again: 4144

6. 974 + 163 = 1137 | correct

7. 2363 + 586 = 2949 | correct

8. 1389 + 2497 = 3886 | correct

9. 2933 + 105 = 1038 | try again: 3038

10. 2323 + 2249 = 4572 | correct

11. 2041 + 2463 = 4504 | correct

12. 1754 + 1092 = 2836 | try again: 2846

13. 1937 + 226 = 2163 | correct

14. 2023 + 1064 = 3088 | try again: 3087

15. 2609 + 805 = 3314 | try again: 3414

16. 1355 + 834 = 2189 | correct

17. 1131 + 1746 = 2877 | correct

18. 2201 + 61 = 2262 | correct

19. 2214 + 1143 = 3357 | correct

(16|01|2022 14:57:52)
